"cues","BOI","Concrete","SUBTLEX","AoA","n"
"buttonhole",5.074074074,4.7,1.0792,6.84,15
"buttonhook",4.45,4.04,0.6021,10.67,9
"bystander",4.791666667,4.17,1.6628,11.06,16
"cab",5.6,4.88,3.2617,6.94,18
"cabbage",5.608695652,4.75,2.1732,5.78,23
"cabdriver",5.12,4.79,1.1761,8.57,17
"cabin",4.56,4.92,3.0013,6.39,18
"cabinet",5.64,4.89,2.6294,6.06,19
"cable",4.913043478,4.74,3.0449,9.2,21
"cacti",4.333333333,4.5,0.699,NA,13
"cactus",4.5,5,2.1732,6.72,16
"caddy",4.913043478,4.32,2.1644,NA,15
"cadet",4.291666667,4.21,2.248,9.68,13
"cadillac",5.12,4.93,2.4669,NA,15
"cafe",4.772727273,4.96,2.4133,8.75,18
"cafeteria",4.8,4.71,2.4624,7.15,16
"cage",5.291666667,5,3.0149,5.06,17
"cake",6.086956522,4.81,3.3615,3.26,18
"calculator",6.24,4.86,1.8261,8.22,19
"calender",5.84,4.82,0.6021,NA,15
"calf",5.08,4.48,2.1818,6.63,21
"calipers",4.666666667,4.78,0.301,NA,12
"calves",5,4.66,1.9191,NA,13
"camel",4.52173913,4.93,2.4099,5.11,18
"camera",6.086956522,5,3.4636,6,18
"camisole",5.476190476,4.81,0.7782,13.72,12
"can",4.88,4.55,5.4275,4.32,16
"candidate",4.739130435,3.81,2.6385,10.39,12
"candle",5.166666667,4.86,2.6128,5.37,21
"candlestick",6,4.93,1.415,5.61,15
"candy",6.4,4.83,3.2615,4,13
"cane",6.068965517,4.87,2.6294,5.74,21
"canine",5.375,4.71,1.9395,8.45,17
"cannabis",5.666666667,4.69,1.3802,13.33,14
"cannonball",4.304347826,4.8,1.8692,6.39,14
"canoe",5.818181818,4.86,2.2625,6.63,15
"cantaloupe",5.666666667,4.76,1.5911,7.22,12
"canteen",5.607142857,4.88,1.9445,9.04,18
"canvas",5.590909091,4.78,2.3365,8.15,16
"canvass",4.347826087,4.08,1.699,11.33,21
"cap",5.826086957,4.59,2.9809,5.53,16
"capacitor",4.375,3.96,1.1761,12.07,8
"cape",5.416666667,4.77,2.6243,6.9,13
"capes",4.481481481,4.81,1.2304,NA,15
"capsule",5.041666667,4.52,2.1173,10.44,10
"captain",4.913043478,4.19,4.0262,6.06,20
"car",6.035714286,4.89,4.3916,3.37,18
"caramel",5.28,4.73,1.8062,6.58,17
"card",5.56,4.9,3.6393,6.2,15
"cardboard",5.739130435,4.9,2.143,5.4,16
"cardigan",6.130434783,4.96,1.4771,10.11,14
"caretaker",5.071428571,4.24,2.1004,9.75,21
"carnival",5.125,4.68,2.5611,6.95,19
"carp",4.52173913,4.62,1.6021,11.42,13
"carpenter",5.464285714,4.41,2.4871,7.39,20
"carpet",6.041666667,4.96,2.7745,6.05,16
"carpeting",5.115384615,4.21,1.4771,6.37,18
"carport",4.28,4.79,0.7782,11.19,14
"carriage",5.08,4.86,2.5821,5.84,15
"carrot",6.043478261,5,2.2923,2.74,12
"cart",5.4,4.89,2.6646,6.16,20
"carton",5,5,1.9868,7,15
"cartridge",5.12,4.78,1.699,10.95,11
"case",4.272727273,3.93,4.1585,6.74,23
"casebook",5.391304348,4.48,0.4771,10.22,8
"caseworker",4.32,4.37,1.1761,10.22,21
"cash",6.36,4.48,3.5676,4.84,16
"cashier",4.888888889,4.89,2.2253,6.74,17
"cashmere",4.875,4.72,1.8921,13.05,10
"casket",4.714285714,4.86,2.2122,8.26,19
"casserole",5.88,4.87,1.9345,7.32,20
"cassette",5.148148148,4.6,1.9731,6.37,16
"castle",4.307692308,4.96,3.0414,5.8,16
"cat",5.913043478,4.86,3.5294,3.68,17
"catalogue",5.916666667,4.36,2.0374,7.84,15
"catapult",4.84,4.43,1.5051,10.56,14
"caterpillar",5.083333333,4.87,1.7634,5.17,18
