"Cue","Target","AFS","FSG","COS"
"aircraft","hold",0.0161290322580645,NA,NA
"aircraft","land",0.032258064516129,NA,NA
"aircraft","lift",0.0161290322580645,NA,NA
"aircraft","mail",0.0161290322580645,NA,NA
"aircraft","pilot",0.0161290322580645,0.054,0.612429707
"aircraft","pollute",0.0161290322580645,NA,NA
"aircraft","ride",0.0483870967741935,NA,0.157843145
"aircraft","see",0.0161290322580645,NA,NA
"aircraft","send",0.032258064516129,NA,0.044763002
"aircraft","sightsee",0.0161290322580645,NA,NA
"aircraft","sit",0.032258064516129,NA,NA
"aircraft","skydive",0.0161290322580645,NA,NA
"aircraft","sleep",0.0161290322580645,NA,NA
"aircraft","takeoff",0.0161290322580645,NA,NA
"aircraft","trade",0.0161290322580645,NA,NA
"aircraft","transport",0.0645161290322581,NA,NA
"aircraft","travel",0.0967741935483871,NA,NA
"aircraft","visit",0.0161290322580645,NA,NA
"aircraft","watch",0.0161290322580645,NA,NA
"airman","admire",0.0163934426229508,NA,NA
"airman","annihilate",0.0163934426229508,NA,NA
"airman","attack",0.0327868852459016,NA,NA
"airman","control",0.0163934426229508,NA,NA
"airman","destroy",0.0491803278688525,NA,NA
"airman","direct",0.0163934426229508,NA,NA
"airman","fight",0.0327868852459016,NA,NA
"airman","firebomb",0.0163934426229508,NA,NA
"airman","flow",0.0163934426229508,NA,NA
"airman","fly",0.295081967213115,NA,NA
"airman","follow",0.0163934426229508,NA,NA
"airman","greet",0.0163934426229508,NA,NA
"airman","help",0.0491803278688525,NA,NA
"airman","hug",0.0163934426229508,NA,NA
"airman","kiss",0.0163934426229508,NA,NA
"airman","land",0.0163934426229508,NA,NA
"airman","listen",0.0163934426229508,NA,NA
"airman","maintain",0.0163934426229508,NA,NA
"airman","murder",0.0163934426229508,NA,NA
"airman","navigate",0.0163934426229508,NA,NA
"airman","parachute",0.0163934426229508,NA,NA
"airman","parade",0.0163934426229508,NA,NA
"airman","pass",0.0163934426229508,NA,NA
"airman","recruit",0.0163934426229508,NA,NA
"airman","ride",0.0163934426229508,NA,NA
"airman","salut",0.0163934426229508,NA,NA
"airman","skydive",0.0163934426229508,NA,NA
"airman","speak",0.0327868852459016,NA,NA
"airman","steer",0.0163934426229508,NA,NA
"airman","sue",0.0163934426229508,NA,NA
"airman","take",0.0327868852459016,NA,NA
"airman","talk",0.0327868852459016,NA,NA
"airman","thank",0.0163934426229508,NA,NA
"airman","transport",0.0163934426229508,NA,NA
"airman","travel",0.0163934426229508,NA,NA
